groupid,groupname,topics_id,topic_name
107592,"🔥 SQL NYC, The NoSQL & NewSQL Database Big Data Meetup",188,Linux
107592,"🔥 SQL NYC, The NoSQL & NewSQL Database Big Data Meetup",455,PHP
107592,"🔥 SQL NYC, The NoSQL & NewSQL Database Big Data Meetup",563,Open Source
107592,"🔥 SQL NYC, The NoSQL & NewSQL Database Big Data Meetup",789,MySQL
107592,"🔥 SQL NYC, The NoSQL & NewSQL Database Big Data Meetup",1245,Database Professionals
107592,"🔥 SQL NYC, The NoSQL & NewSQL Database Big Data Meetup",3833,Software Development
107592,"🔥 SQL NYC, The NoSQL & NewSQL Database Big Data Meetup",7463,SQL Server
107592,"🔥 SQL NYC, The NoSQL & NewSQL Database Big Data Meetup",9696,New Technology
107592,"🔥 SQL NYC, The NoSQL & NewSQL Database Big Data Meetup",10102,Internet Professionals
107592,"🔥 SQL NYC, The NoSQL & NewSQL Database Big Data Meetup",10164,LAMP
107592,"🔥 SQL NYC, The NoSQL & NewSQL Database Big Data Meetup",10209,Web Technology
107592,"🔥 SQL NYC, The NoSQL & NewSQL Database Big Data Meetup",10579,Technology
107592,"🔥 SQL NYC, The NoSQL & NewSQL Database Big Data Meetup",18062,Big Data
107592,"🔥 SQL NYC, The NoSQL & NewSQL Database Big Data Meetup",30928,Data Analytics
107592,"🔥 SQL NYC, The NoSQL & NewSQL Database Big Data Meetup",58162,NoSQL
1338658,Hudson Valley Hikers,242,Fitness
1338658,Hudson Valley Hikers,374,Camping
1338658,Hudson Valley Hikers,579,Bicycling
1338658,Hudson Valley Hikers,590,Kayaking
1338658,Hudson Valley Hikers,638,Hiking
1338658,Hudson Valley Hikers,1566,Rock Climbing
1338658,Hudson Valley Hikers,10451,Sports and Recreation
1338658,Hudson Valley Hikers,15046,Outdoors
1338658,Hudson Valley Hikers,15672,Outdoor  Fitness
1338658,Hudson Valley Hikers,15892,Adventure
1338658,Hudson Valley Hikers,18617,Cycling
1338658,Hudson Valley Hikers,18988,Backpacking
1338658,Hudson Valley Hikers,20266,Mountain Biking
1338658,Hudson Valley Hikers,25375,Exercise
15473572,Metis: New York Data Science,7029,JavaScript
15473572,Metis: New York Data Science,10494,Data Management
15473572,Metis: New York Data Science,15582,Web Development
15473572,Metis: New York Data Science,18060,Hadoop
15473572,Metis: New York Data Science,18062,Big Data
15473572,Metis: New York Data Science,29971,Machine Learning
15473572,Metis: New York Data Science,37381,Data Visualization
15473572,Metis: New York Data Science,38458,Predictive Analytics
15473572,Metis: New York Data Science,48471,Computer programming
15473572,Metis: New York Data Science,58162,NoSQL
15473572,Metis: New York Data Science,102811,Data Science
15473572,Metis: New York Data Science,383411,Big Data Analytics
15473572,Metis: New York Data Science,1056662,Big Data for social media
15473572,Metis: New York Data Science,1471442,Apache Spark
22884788,React NYC,7029,JavaScript
22884788,React NYC,10209,Web Technology
22884788,React NYC,15582,Web Development
22884788,React NYC,56555,JavaScript Libraries
22884788,React NYC,78565,HTML5
22884788,React NYC,85951,JavaScript Frameworks
22884788,React NYC,100479,Front-end Development
22884788,React NYC,964072,JavaScript Applications
22884788,React NYC,1504812,ReactJS
22884788,React NYC,1505697,React Native
22884788,React NYC,1513059,React
16243702,Design Driven NYC (a FirstMark Event),659,Web Design
16243702,Design Driven NYC (a FirstMark Event),781,Graphic Design
16243702,Design Driven NYC (a FirstMark Event),9876,Freelance
16243702,Design Driven NYC (a FirstMark Event),10102,Internet Professionals
