groupid,event_id,created,name,status,time,updated,yes_rsvp_count,attendance_count,event_url,description,venue.id,venue.name,venue.lat,venue.lon,city,country
12542,250066604,1524492570000,So What If You're Dead? The Horoscope Lives Forever!,past,1525820400000,1525881820000,25,25,https://www.meetup.com/nyc-astrology/events/250066604/,"<p>When someone makes news, the horoscope's hot—whether that someone is alive or not. What's happening in the charts of departed souls who return to haunt the headlines?</p> <p>Bio: Elisabeth Grace<br/>B.A. Philosophy, Wellesley College. ISAR CAP-certified. Highest-honors graduate, Noel Tyl’s masters course. Certified horary practitioner, School of Traditional Astrology. Freelancing at WNBC and CNBC inspired must-read forecast reporting on the astonishing synchronicity of headline news and planetary patterns. Feature writer for Mountain Astrologer, Dell Horoscope, NCGR.<br/><a href=""http://www.graceastrology.com/"" class=""linkified"">http://www.graceastrology.com/</a></p> <p>____________________________________________________________________________________<br/>A suggested donation is $5 (or more) and very VERY much appreciated, but please know whatever you can afford is acceptable. Donations collected pay our rent, Meetup.com fees, beverages and snacks, and speaker!</p> <p>PS: If you show up a little early, the Quest Bookshop is an excellent source of many metaphysical books, crystals, incense, tarot decks, pendulums and much more. It is well worth browsing. They close at 7 pm.</p> <p>DIRECTIONS<br/>The meetup takes place at the Theosophical Society, which is next door to the Quest Bookshop. You may enter through the bookshop before 7 pm (when it closes) or to the left of the bookshop after 7 pm. A sign will be posted on the door you can enter. The following is a rough outline. The meetup will start at 7 pm SHARP.</p> <p>MEETUP TIMING<br/>7–7:40 - Intros, announcements, and a short talk sharing some astrological fundamentals, especially for beginners, or else an open Q &amp; A about ANY astrological topic<br/>7:40–7:45 - Brief intros from attendees, announcements<br/>7:45–9:00 - Main presentation<br/>9:90–9:15 - Socializing (while putting away chairs)</p> ",965800,Quest Bookshop,40.75687026977539,-73.96800994873047,New York,us
12542,248512364,1520453953000,"The Titanic... or, How to Elect a Better Event Chart!",past,1523574000000,1523983756000,56,56,https://www.meetup.com/nyc-astrology/events/248512364/,"<p>The Titanic... or, How to Elect a Better Event Chart!<br/>Join us for an introduction to the astrology of the Titanic shipwreck as well as some basics of electional astrology.</p> <p>Electional astrology is choosing the ""right"" chart for the success of an event, usually a business, but even asking your boss for a raise, bothering to go out on a Saturday night, the start of a worthy vacation, or throwing your hat into the ring for President!</p> <p>Hint: Don't name your project after the king of the gods who went down!</p> <p><b>Bio:</b><br/>John Marchesella works as an astrologer and teacher in New York. He is certified by NCGR-PAA, head of faculty of NCGR-NYC, and a past Chair of NCGR. He is currently serving as president of NCGR-NYC. John is looking forward to UAC18 in Chicago, where he will be presenting on Saturn and Secondary Progressions. Find him at <a href=""http://www.astrojohn.com/"" class=""linkified"">http://www.astrojohn.com/</a></p> <p>_____________________________</p> <p>A suggested donation is $5 (or more) and very VERY much appreciated, but please know whatever you can afford is acceptable. Donations collected pay our rent, Meetup.com fees, beverages and snacks, and speaker!</p> <p>PS: If you show up a little early, the Quest Bookshop is an excellent source of many metaphysical books, crystals, incense, tarot decks, pendulums and much more. It is well worth browsing. They close at 7 pm.</p> <p>DIRECTIONS<br/>The meetup takes place at the Theosophical Society, which is next door to the Quest Bookshop. You may enter through the bookshop before 7 pm (when it closes) or to the left of the bookshop after 7 pm. A sign will be posted on the door you can enter. The following is a rough outline. The meetup will start at 7 pm SHARP.</p> <p>MEETUP TIMING<br/>7–7:40 - Intros, announcements, and a short talk sharing some astrological fundamentals, especially for beginners, or else an open Q &amp; A about ANY astrological topic<br/>7:40–7:45 - Brief intros from attendees, announcements<br/>7:45–9:00 - Main presentation<br/>9:90–9:15 - Socializing (while putting away chairs)</p> ",965800,Quest Bookshop,40.75687026977539,-73.96800994873047,New York,us
12542,247542062,1517923787000,Ascendant vs. Sun - Where is the Person in the Chart?,past,1520553600000,1520604875000,81,81,https://www.meetup.com/nyc-astrology/events/247542062/,"<p>• What we'll do<br/>Which One Describes the Person? When you say “I”, where is it exactly in the chart? What are the factors that create the sense of individuality? When people say ""I am a Scorpio, or I am Gemini, etc."" they are usually referring to their Sun-sign, completely unaware of the Rising Sign and its Ruler. To make matters worse, modern astrology books indiscriminately blur the lines between the ASC-sign, the Moon-sign and the Sun-sign - all description sounding alike. This lecture clarifies the confusion, making a clear distinction between these three. It also explores the role of the dispositor and how it affects the Ruler of the Ascendant. We will identify “the power grid” in the chart and the components on which it is built.</p> <p>Bio:<br/>Meira Epstein, C.A., NCGR-PAA is a professional, certified, practicing astrologer, living in New York City. Her busy schedule includes private practice, teaching, lecturing and writing - all of which take place both in the US and internationally. She is on the New York NCGR faculty, and the creator and tutor of the NCGR Online Education for the Certification Program of the NCGR-PAA, all four levels, including Math &amp; Astronomy. A speaker on a wide variety of topics at national and international conferences. Specialties: Classical/Hellenistic astrology; The Uranian System, astronomy and chart calculations. Publications: Translations of the Medieval Hebrew astrology texts of Abraham Ibn Ezra; “Excellence in Astrology, Level-I &amp; Level-II” – workbooks for Certification Exams. Articles published in the US &amp; Europe. Meira began her astrological studies in Israel in 1978, came to the USA in 1981 and joined the NCGR in 1982. All these years she also had an extended parallel career as a computer programmer-analyst. Learn about her at <a href=""http://bear-star.com"" class=""linkified"">http://bear-star.com</a> _____________________<br/>A suggested donation is $5 (or more) and very very much appreciated, but please know whatever you can afford is acceptable. Donations collected pay our rent, Meetup.com fees, beverages and snacks, and speaker!</p> <p>PS: If you show up a little early, the Quest Bookshop is an excellent source of many metaphysical books, crystals, incense, tarot decks, pendulums and much more. It is well worth browsing. They close at 7 pm.</p> <p>DIRECTIONS<br/>The meetup takes place at the Theosophical Society, which is next door to the Quest Bookshop. You may enter through the bookshop before 7 pm (when it closes) or to the left of the bookshop after 7 pm. A sign will be posted on the door you can enter. The following is a rough outline. The meetup will start at 7 pm SHARP.</p> <p>MEETUP TIMING<br/>7–7:30 - Intros, announcements, and a short talk sharing some astrological fundamentals, especially for beginners, or else an open Q &amp; A about ANY astrological topic<br/>7:30–7:40 - Brief intros from attendees, announcements<br/>7:40–8:50 - Main presentation<br/>8:50–9:15 - Socializing (while putting away chairs)</p> <p>• What to bring</p> <p>• Important to know</p> ",965800,Quest Bookshop,40.75687026977539,-73.96800994873047,New York,us
12542,247434372,1517615047000,Celestial Dances: Planetary Phase and the Solar Principle ,past,1519948800000,1520000341000,45,45,https://www.meetup.com/nyc-astrology/events/247434372/,"<p>Astrologers ruminate on lunar phases, yet little attention is given to the other planets which experience shifts in phase. In this talk, we will explore the process of planetary phase and its implications in chart interpretation.</p> <p>Together, we will assess how to interpret a planet coming to a conjunction of the Sun: what does it mean for a planet to draw near to the Sun, enter into its heart (the moment classically termed ‘cazimi’), and emerge again as a renewed planetary energy in the east at dawn, or the west at sunset?</p> <p>We will explore the changes to planetary nature encountered at the sextiles of the Sun, the squares, the trines and opposition. Just as each planet’s speed is adapted by its configuration with the Sun, a fluent chart interpretation requires some exposure to how this is experienced visually and symbolically in the sky around us.</p> <p>This presentation will give you solid foundational knowledge of planetary cycles and phase: what the Sun’s chief operations are astronomically and astrologically, how this impacts a planet’s behavior, how to spot a planet’s phase visually, what factors you’ll want to bring in as you interpret a planet’s living dance within a chart, etc., bringing it all together at the close with modern case studies. You will receive handout material to help you study further. This presentation is suitable for all levels of astrologers.</p> <p>Wade Caves Bio:<br/>Wade Caves, based in San Francisco, USA, is an astrological consultant, speaker and educator specializing in horary, electional and classical astrological technique. Wade is a faculty member and tutor for the School of Traditional Astrology (STA), and editor and annotator of the 300th anniversary edition of William Lilly’s History of His Life &amp; Times (Rubedo Press, 2015). Find out more at <a href=""https://wadecaves.com/"" class=""linkified"">https://wadecaves.com/</a></p> <p>_____________________________<br/>A suggested donation is $5 (or more) and very very much appreciated, but please know whatever you can afford is acceptable. Donations collected pay our rent, Meetup.com fees, beverages and snacks, and speaker!</p> <p>PS: If you show up a little early, the Quest Bookshop is an excellent source of many metaphysical books, crystals, incense, tarot decks, pendulums and much more. It is well worth browsing. They close at 7 pm.</p> <p>DIRECTIONS<br/>The meetup takes place at the Theosophical Society, which is next door to the Quest Bookshop. You may enter through the bookshop before 7 pm (when it closes) or to the left of the bookshop after 7 pm. A sign will be posted on the door you can enter. The following is a rough outline. The meetup will start at 7 pm SHARP.</p> <p>MEETUP TIMING<br/>7–7:30 - Intros, announcements, and a short talk sharing some astrological fundamentals, especially for beginners, or else an open Q &amp; A about ANY astrological topic<br/>7:30–7:40 - Brief intros from attendees, announcements<br/>7:40–8:50 - Main presentation<br/>8:50–9:15 - Socializing (while putting away chairs)</p> ",965800,Quest Bookshop,40.75687026977539,-73.96800994873047,New York,us
12542,247026909,1516556989000,The Era of Capricorn,past,1518566400000,1518721056000,74,74,https://www.meetup.com/nyc-astrology/events/247026909/,"<p>Through a PowerPoint presentation Mitchell will discuss the “Great Capricorn Alignment”: the transit of Pluto and Saturn through this earth sign to be conjoined by Mars and Jupiter in 2020 - what it means to you as an individual and to the collective. What can we expect politically, financial and socially. And how can we best use this energy to our advantage.</p> <p>Mitchell Scott Lewis Bio:<br/>Mitchell Scott Lewis has been a practicing humanist astrologer and teacher in New York City for more than twenty years. For a dozen years, he worked on the Mercantile Exchange as an astro‑economist, authoring a newsletter, “Trading By Starlight.” He has appeared on 20/20, has been quoted in Barron’s, the New York Post and other publications, and is a regular guest on ""Coast to Coast."" In his newsletters, radio and TV appearances, and lectures at the Princeton Club from 1999‑2009, he successfully predicted a year in advance the rise of oil prices, the exact top of the housing market, the deterioration of the mortgage business, the current recession, and the 2008 stock market crash. He covers all the bases, with additional expertise in Medical Astrology and as a published author of a number of novels featuring a private detective who uses astrology to help solve his cases. His website is www.mitchastro.com (<a href=""http://www.mitchastro.com/"" class=""linkified"">http://www.mitchastro.com/</a>), and if you are curious about his novels, try <a href=""http://www.poisonedpenpress.com/mitchell-scott-lewis/"" class=""linkified"">http://www.poisonedpenpress.com/mitchell-scott-lewis/</a><br/>_____________________________<br/>A suggested donation is $5 very much appreciated. Please know whatever you can afford is acceptable. Donations collected pay our rent, Meetup.com fees, beverages and snacks, and speaker!</p> <p>PS: If you show up a little early, the Quest Bookshop is an excellent source of many metaphysical books and items, and well worth a browse. They close at 7 pm.</p> <p>DIRECTIONS<br/>The meetup takes place at the Theosophical Society, which is next door to Quest Bookshop. You may enter through the bookshop before 7 pm (when it closes) or to the left of the bookshop after 7 pm. A sign will be posted on the door you can enter. The following is a rough outline. The meetup will start at 7 pm SHARP.</p> <p>MEETUP TIMING<br/>7–7:40 - Intros, announcements, and a short talk sharing some astrological fundamentals, especially for beginners, including open Q &amp; A about ANY astrological topic<br/>7:30–7:40 - Brief intros from attendees, announcements<br/>7:40–8:50 - Main presentation<br/>8:50–9:15 - Socializing (while putting away chairs)</p> ",965800,Quest Bookshop,40.75687026977539,-73.96800994873047,New York,us
12542,245042340,1510468692000,January 2018: Annual Overview + 2017 Review,past,1515542400000,1515644747000,55,55,https://www.meetup.com/nyc-astrology/events/245042340/,"<p>TOPIC</p> <p>Please join us for our annual walkthrough of the new calendar year. This presentation is for ALL levels of astrology to enjoy some insights and plenty of questions about WTF was that year aka 2017, and a look ahead at 2018.</p> <p>While we walk through astrological 2018, each of us can make notes about those dates that stick out to us whether by intuition and/or logic. To achieve this, please bring your natal chart with your along with a 2018 calendar - astrological or regular - to make notes in. (Our venue, Quest, sells these by the way from two or more publishers. You do need to arrive BEFORE 6 pm to shop there though!)</p> <p>Recommend also bringing your 2017 datebook/calendar as well with your appointments et. al. noted in them.</p> <p>SPEAKER</p> <p>Demetrius Bagley is an award-winning movie producer (Vegucated (<a href=""http://getvegucated.com/"" class=""linkified"">http://getvegucated.com/</a>)), and nationally recognized events producer. He’s godfathered projects like Vegan Street Fair (<a href=""http://veganstreetfair.com/"" class=""linkified"">http://veganstreetfair.com/</a>), SoCal VegFest (<a href=""http://socalvegfest.org/"" class=""linkified"">http://socalvegfest.org/</a>), Veggie Conquest, and many others. Since 2004, he’s led NYC Vegan EatUP (<a href=""http://www.meetup.com/nyceatup"" class=""linkified"">http://www.meetup.com/nyceatup</a>), one of the world’s largest vegan Meetups. Recently, he wrote about being a 20+ year vegan in “Letters to a New Vegan (<a href=""https://lanternbooks.presswarehouse.com/books/BookDetail.aspx?productID=454698"" class=""linkified"">https://lanternbooks.presswarehouse.com/books/BookDetail.aspx?productID=454698</a>)”.</p> <p>Demetrius is also an internationally published astrologer who wrote Vibe Magazine's celebrity horoscope column 2010–2011. He published and sold customized annual Personalized AstroDatebooks from 2007–2013. In 2012, he project coordinated the anthology book, “Astrology: The New Generation (<a href=""http://www.amazon.com/Astrology-Generation-Frank-C-Clifford/dp/1903353211"" class=""linkified"">http://www.amazon.com/Astrology-Generation-Frank-C-Clifford/dp/1903353211</a>)”. He is producing Queer Astrology's 3rd conference (QAC3) in NYC during early Taurus (<a href=""https://www.facebook.com/events/1076023219099448/"" class=""linkified"">https://www.facebook.com/events/1076023219099448/</a>).</p> <p>A suggested donation is $5 very much appreciated. Please know whatever you can afford is acceptable. Donations collected pay our rent, Meetup.com fees, beverages and snacks, and speaker!</p> <p>PS: If you show up a little early, the Quest Bookshop is an excellent source of many metaphysical books and items, and well worth a browse. They close at 7 pm.</p> <p>DIRECTIONS</p> <p>The meetup takes place at the Theosophical Society, which is next door to Quest Bookshop. You may enter through the bookshop before 7 pm (when it closes) or to the left of the bookshop after 7 pm. A sign will be posted on the door you can enter. The following is a rough outline. The meetup will start at 7 pm SHARP.</p> <p>MEETUP TIMING</p> <p>7–7:20 - Short talk sharing some astrological fundamentals, especially for beginners</p> <p>7:20–7:40 - Brief intros from attendees, announcements</p> <p>7:40–8:40 - Main presentation</p> <p>8:40–9:15 - Socializing (while putting away chairs)</p> ",965800,Quest Bookshop,40.75687026977539,-73.96800994873047,New York,us
12542,kjkddmywqbqb,1477437135000,December 2017: Mercury Retrograde Has Ruined My Life (and other Lies),past,1513296000000,1513309301000,61,61,https://www.meetup.com/nyc-astrology/events/kjkddmywqbqb/,"<p><b>TOPIC</b></p> <p>Mercury going retrograde is one of astrology’s most popular—but also most notorious and misunderstood—phenomena. It's tempting to tell ourselves ""Mercury is retrograde. I will hide under my bed until it goes direct. But... will my bed collapse on me?"" </p> <p>The truth is Mercury is retrograde about 20% of the year, but if we include concepts like ""pre-shadow"", ""shadow"" and ""post shadow"", we are theoretically experiencing some level of Mercury Rx almost half the year. Isn’t that a lot of time to hold off? </p> <p>Let’s explore how Mercury Rx periods are about more than things going wrong or not as planned. They are also potent periods for discovery and retrospection. The parade of re keywords—like REvising, REthinking, REviewing, REvising—gives us a glimpse into the alchemy of this period. </p> <p>Each retrograde period differs depending upon the activated sign and other planetary configurations. This time around Mercury’s backward invitation through Sagittarius has a special link with the Saturn cycle and its momentous ingression into Capricorn later on this month. How can we understand this Mercury Rx as the final act of Saturn in Sagittarius, and preparation for Saturn in Capricorn? </p> <p>We are gathering a few astrologers to talk about Mercury Rx: what it is, and what it isn't, how to discern how it affects you personally, and what to do about it. </p> <p>Hint: Your bed will not collapse over you, but hiding under it is generally a bad idea.</p> <p><b>SPEAKERS</b></p> <p>Anthony Picco, Danny Larkin, Bart Lidofsky, &amp; Shakira Tabourn</p> <p><i><br/>A suggested donation is $5 VERY much appreciated. Please know </i><i>whatever you can afford is acceptable. </i><i>Donations collected pay our rent, Meetup.com fees, beverages and snacks, and speaker! No one is getting rich...</i></p> <p>PS: If you show up a little early, the Quest Bookshop is an excellent source of many metaphysical books and items, and well worth a browse. They close at 7 pm. </p> <p><b>DIRECTIONS</b></p> <p>The meetup takes place at the Theosophical Society, which is next door to Quest Bookshop. You may enter through the bookshop before 7 pm (when it closes) or to the left of the bookshop after 7 pm. A sign will be posted on the door you can enter. The following is a rough outline. The meetup will start at 7 pm SHARP. </p> <p><b>MEETUP TIMING</b></p> <p>7–7:30 - Q+A for all levels of learning... ask any astro question you have... one of us will either know the answer or know who knows... all are welcome to answer questions... also announcements</p> <p>7:30–8:40 - Main presentations</p> <p>8:40–9:15 - Socializing<i> (while putting away chairs... pitch in if you can) </i></p> ",965800,Quest Bookshop,40.75687026977539,-73.96800994873047,New York,us
12542,kjkddmywpbsb,1477437135000,"Nov 2017: The 3 Modalities—How to Galvanize Cardinal, Fixed and Mutable Energies",past,1510272000000,1510330534000,51,51,https://www.meetup.com/nyc-astrology/events/kjkddmywpbsb/,"<p>TOPIC<br/><b>The 3 Modalities - How to Galvanize Cardinal, Fixed and Mutable Energies</b></p> <p>The 12 signs of the zodiac are divided into three modes – cardinal, fixed and mutable. Modality reveals how of a planet manifests its agenda. The goal of this session is to introduce the modes and invite reflection into deeper levels of understanding. This session will consist of several short talks that build upon one other, so that attendees can leave with more ideas about how to approach interpreting the modes in chart work. There will be time for a Q &amp; A.</p> <p>SPEAKERS</p> <p><b>Anthony Picco</b> - “Introduction and Overview of the Modalities + Elements”</p> <p><b>Danny Larkin</b> – “The Roots: Ancient Metaphors of the Modes for Modern Practice” </p> <p><b>Bart Lidofsky</b> – “Chart Imbalances: Using strengths in the chart to make up for weaknesses” </p> <p><b>Kirk Kahn</b> – “Esoteric Ruminations: Exploring the Law of Three and the Golden Ratio and Other Mystical Layers of the Modes </p> <p>If you have attended any of this group's gatherings, you know who we all are... seasoned professional astrologers</p> <p><i>A suggested donation is $5 (or more) and very much appreciated. Please know </i><i>whatever you can afford is acceptable. </i><i>Donations collected pay our rent, Meetup.com fees, beverages and snacks, and speaker! </i></p> <p>PS: If you show up a little early, the Quest Bookshop is an excellent source of many metaphysical books and items, and well worth a browse. They close at 7 pm. </p> <p>DIRECTIONS</p> <p>The meetup takes place at the Theosophical Society, which is next door to Quest Bookshop. You may enter through the bookshop before 7 pm (when it closes) or to the left of the bookshop after 7 pm. A sign will be posted on the door you can enter. The following is a rough outline. The meetup will start at 7 pm SHARP. </p> <p>MEETUP TIMING</p> <p>7–7:20 - Open question time... go ahead, ask any question... </p> <p>7:20–7:40 - Brief intros from attendees, announcements </p> <p>7:40–9:00 - Main presentation(s) </p> <p>9:00–9:15 - Socializing <i>(while putting away chairs)</i> </p> ",965800,Quest Bookshop,40.75687026977539,-73.96800994873047,New York,us
12542,kjkddmywnbnb,1477437135000,October 2017: What To Expect From Jupiter in Scorpio,past,1507849200000,1508107513000,73,73,https://www.meetup.com/nyc-astrology/events/kjkddmywnbnb/,"<p><b>TOPIC: What To Expect From Jupiter in Scorpio<br/></b>On October 10th, Jupiter switches signs for a year long journey in Scorpio. As Jupiter enters passionate Scorpio, we all will have to reflect on the dark corners of our lives and make permanent decisions around our hearts desires. This year Jupiter will be the planet people are getting fired up about as this often benefic gears up to become a darker element in the heavens. </p> <p>Join Lisa Stardust to discuss the impact Jupiter in Scorpio will have in all our lives; as well as the affect the 2018 eclipses will have while aspecting Jupiter. Be prepared for a lively discussion as Jupiter in Scorpio is a wild ride! </p> <p><b>SPEAKER: </b><b>Lisa Stardust<br/></b>Lisa Stardust is a NYC based astrologer who has been a part of the astrological community for over 10 years. A specialist in Horary Astrology &amp; Eclipse Interpretation, Lisa Stardust fuses her vast knowledge from all branches of astrology into one cohesive interpretation. Lisa Stardust has been featured in <i>Broadly/Vice Magazine &amp; Refinery 29</i>. Stardust is also the moderator of a Astrology Chart Facebook page which yields an audience of over 150 members.</p> <p>Find her at: </p> <p><a href=""https://lisastardust.com/""><a href=""https://lisastardust.com/"" class=""linkified"">https://lisastardust.com/</a></a></p> <p><i><br/>A suggested donation is $5-10 very much appreciated. Please know </i><i>whatever you can afford is acceptable. </i><i>Donations collected pay our rent, Meetup.com fees, beverages and snacks, and speaker! </i></p> <p>PS: If you show up a little early, the Quest Bookshop is an excellent source of many metaphysical books and items, and well worth a browse. They close at 7 pm. </p> <p>DIRECTIONS</p> <p>The meetup takes place at the Theosophical Society, which is next door to Quest Bookshop. You may enter through the bookshop before 7 pm (when it closes) or to the left of the bookshop after 7 pm. A sign will be posted on the door you can enter. The following is a rough outline. The meetup will start at 7 pm SHARP. </p> <p>MEETUP TIMING</p> <p>7–7:30 - Short talk sharing some astrological fundamentals, especially for beginners, but open to all levels of experience</p> <p>7:30–7:50 - Brief intros from attendees, announcements </p> <p>7:50–8:50 - Main presentation </p> <p>8:50–9:15 - Socializing<i> (while putting away chairs) </i></p> ",965800,Quest Bookshop,40.75687026977539,-73.96800994873047,New York,us
12542,kjkddmywmbqb,1477437135000,Sept 2017: Economic Impact of Saturn Entering Capricorn/Uranus Entering Taurus,past,1505257200000,1505268790000,64,64,https://www.meetup.com/nyc-astrology/events/kjkddmywmbqb/,"<p><b>The Economic Impact of Saturn Entering Capricorn and Uranus Entering Taurus</b></p> <p>When Pluto went into Capricorn in 2008 the financial banking system almost collapsed. More banks could have gone insolvent at that time but President Obama saved them under the advice that this was best for the American people and economy. With Saturn going into Capricorn, followed by Uranus in Taurus, there will be some very profound and real changes to the economy and banking system during the next few years. Saturn's job: to make real the changes Pluto began in 2008. While Uranus in Taurus will initiate us into innovating a new way to value our individual contributions to society. If any economic shocks or corrections were happen to large financial institutions were to happen what can we count on President Trump for? </p> <p>SPEAKER<br/><b>Frederick Steinmann<br/></b></p> <p><img src=""https://secure.meetupstatic.com/photos/event/b/9/5/7/600_464147447.jpeg"" /></p> <p>Frederick Steinmann is a New York City based consulting astrologer. He uses the ancient art and science of the natal map to help guide those searching for purpose, wisdom and meaning in their lives. Fred consults and advises entrepreneurs, creative and financial professionals, leaders of thought and industry, and all those searching for clarity, guidance, direction and inspiration during uncertain times. He bases his practice on training and study in Ageless Wisdom and astrological techniques, grounded in 10+ years of professional experience advising clients and colleagues on Wall Street.</p> <p><i>..................................................................<br/>A suggested donation is $5 (or more, if you can spare it) very much appreciated. Please know </i><i>whatever you can afford is acceptable. </i><i>Donations collected pay our rent, Meetup.com fees, beverages and snacks, and anything leftover goes to the speaker! </i></p> <p>PS: If you show up a little early, the Quest Bookshop is an excellent source of many metaphysical books and items, and well worth a browse. They close at 7 pm. </p> <p>DIRECTIONS</p> <p>The meetup takes place at the Theosophical Society, which is next door to Quest Bookshop. You may enter through the bookshop before 7 pm (when it closes) or to the left of the bookshop after 7 pm. A sign will be posted on the door you can enter. The following is a rough outline. The meetup will start at 7 pm SHARP. </p> <p>MEETUP TIMING</p> <p>7–7:30 - Short talk sharing some astrological fundamentals, especially for beginners </p> <p>7:30–7:40 - Brief intros from attendees, announcements </p> <p>7:40–8:45 - Main presentation </p> <p>8:45–9:15 - Socializing (while putting away chairs) </p> ",965800,Quest Bookshop,40.75687026977539,-73.96800994873047,New York,us
